受取人名,リスクタイプ,状態,リスク度
#66 Division,制裁リスト,有効,高
（a)Bilal （b)Adel （c)Fodhil,制裁リスト,無効,高
（a)Hamroui Kamel ben Mouldi,制裁リスト,無効,高
（a)アブー・サーカル・ザービン（Abu Saqar Zabin）,制裁リスト,無効,高
（ａ）アブドゥラフマン・サレム・イブラヒム・ミラッド（Abdurahman Salem Ibrahim Milad）（ｂ）アブドゥラフマン・サリム・ミラッド・カシュラフ（Abdulrahman Salim Milad Kashlaf）,制裁リスト,無効,高
（ａ）カシュラフ（Kashlaf）,制裁リスト,無効,高
（a)ダウード・エブラヒム,制裁リスト,無効,高
（a)ドール・ナドル、1974年1月15日にモロッコにて出生,制裁リスト,無効,高
(ａ)ドルダ・アブゼッド・オエ（Dorda Abuzed OE）,制裁リスト,無効,高
（a)ハムロウィ・カメル・ベン・モウルディ,制裁リスト,無効,高
（a)ビラール,制裁リスト,無効,高
(Ansar al Charia in Libya,制裁リスト,無効,高
(Ansar al Charia in Libya (ASL),制裁リスト,無効,高
（b)アブー・サーガル・ザービン（Abu Sagar Zabin）,制裁リスト,無効,高
(ｂ)アブ・ゼイド・オマル・ハメイド・ドルダ（Abu Zayd Umar Hmeid Dorda）,制裁リスト,無効,高
（ｂ）コシュラフ（Koshlaf）,制裁リスト,無効,高
（ｃ）アルカサブ（al-Qasab）,制裁リスト,無効,高
(f.k.a.:,制裁リスト,無効,高
(Joint Stock Company Nevskoye Project and Design Bureau,制裁リスト,無効,高
(Korea) Sunhwagang Trading Co. ((朝鮮)順和江貿易会社),制裁リスト,有効,高
(OOO) Microelectronic Production Complex (MPK) Milandr,制裁リスト,有効,高
(Yunis al-Mauritani,制裁リスト,無効,高
（シェイク）ムーサ・ヒラール（(Sheikh) Musa Hilal）,制裁リスト,無効,高
（有限会社）マイクロエレクトロニクスコンプレックス（MPK）ミランドル,制裁リスト,有効,高
-JSC Scientific Research Institute for Mechanical Engineering;,制裁リスト,無効,高
. فلسيانو سمبوريو ديلوس رييس الإبن,制裁リスト,無効,高
0DAY TECHNOLOGIES,制裁リスト,有効,高
1-P,制裁リスト,有効,高
101 DAYS CAMPAIGN,制裁リスト,有効,高
10219452 CANADA INCORPORATED,制裁リスト,有効,高
103 Bronetankovy Remontny Zavod PAO,制裁リスト,有効,高
103装甲車修理工場公共株式会社,制裁リスト,有効,高
108 Institute,制裁リスト,有効,高
10 Shipyard,制裁リスト,有効,高
10th Research Institute of China Electronic Technology Group Corporation (CETC),制裁リスト,有効,高
10th Research Institute of China Electronic Technology Group Corporation (CETC) (中国電子科技集団公司第十研究所),制裁リスト,有効,高
110TH RESEARCH CENTER,制裁リスト,有効,高
11420 CORP.,制裁リスト,有効,高
116 Arsenal PAO,制裁リスト,有効,高
121 ARZ,制裁リスト,有効,高
123 ARZ,制裁リスト,有効,高
126 Economic Exchange Company,制裁リスト,有効,高
12th Research Institute China Academy of Launch Vehicle Technology (CALT),制裁リスト,有効,高
136 TSBPR,制裁リスト,有効,高
13 SRZ CHF Minoborony Rossii,制裁リスト,有効,高
13 Sudoremontnyi Zavod Chernomorskogo Flota Ministerstva Oborony Rossiiskoi Federatsii,制裁リスト,有効,高
13th Institute,制裁リスト,有効,高
"13th Research Institute, 9th Academy, China Aerospace Science and Technology Corporation (CASC)",制裁リスト,有効,高
"13th Research Institute, 9th Academy, China Aerospace Science and Technology Corporation (CASC) (中国航天科技集団公司第九研究院第十三研究所)",制裁リスト,有効,高
140 Remontnyi Zavod OAO,制裁リスト,有効,高
140 Remontny Zavod OAO,制裁リスト,有効,高
140 Repair Plant Joint Stock Company,制裁リスト,有効,高
140 Repair Plant JSC,制裁リスト,有効,高
140 Repair Plant Open Joint Stock Company,制裁リスト,有効,高
140th Repair Plant JSC,制裁リスト,有効,高
1425 BRICKELL AVE 63-F LLC,制裁リスト,有効,高
1425 BRICKELL AVENUE 64E LLC,制裁リスト,有効,高
"1425 BRICKELL AVENUE UNIT 46B, LLC",制裁リスト,有効,高
148SH LIMITED TRADE DEVELOPMENT,制裁リスト,有効,高
148SH LTD,制裁リスト,有効,高
14 Star Shipping Management,制裁リスト,有効,高
150 Aircraft Repair Plant,制裁リスト,有効,高
150 ARP,制裁リスト,有効,高
150 ARP及び株式会社150 ARZ,制裁リスト,有効,高
150 ARZ,制裁リスト,有効,高
15 KHORDAD FOUNDATION,制裁リスト,有効,高
163 Bronetankovy Remontny Zavod OAO,制裁リスト,有効,高
163装甲車修理工場公開株式会社,制裁リスト,有効,高
170 RZ SOP,制裁リスト,有効,高
179 SRZ AO,制裁リスト,有効,高
179th Ship Repair Plant Joint Stock Company,制裁リスト,有効,高
179th Ship Repair Yard JSC,制裁リスト,有効,高
195 Repair Plant of Rocket and Artillery Weapons,制裁リスト,有効,高
195 RZ RAV AO,制裁リスト,有効,高
1st Armored Division,制裁リスト,有効,高
1VPNS,制裁リスト,有効,高
１・Ｐ,制裁リスト,有効,高
「１・Ｐ」（“1-P”）,制裁リスト,無効,高
200G PSA HOLDINGS LLC,制裁リスト,有効,高
20 ARZ,制裁リスト,有効,高
20th Research Institute of China Electronic Technology Group Corporation (CETC),制裁リスト,有効,高
20th Research Institute of China Electronic Technology Group Corporation (CETC) (中国電子科技集団公司第二十研究所),制裁リスト,有効,高
218 ARZ,制裁リスト,有効,高
221 General Bureau,制裁リスト,有効,高
223rd Flight Detachment,制裁リスト,有効,高
223rd Flight Unit,制裁リスト,有効,高
223rd State Airline Flight Unit,制裁リスト,有効,高
224 FU JSC,制裁リスト,有効,高
224th Flight Unit,制裁リスト,有効,高
224th Flight Unit State Airlines,制裁リスト,有効,高
230 Factory,制裁リスト,有効,高
234th Guards Air Assault Regiment,制裁リスト,有効,高
234TH GUARDS AIRBORNE ASSAULT REGIMENT,制裁リスト,有効,高
234th Guards Black Sea Order of Kutuzov Named After Alexander Nevsky Air Assault Regiment,制裁リスト,有効,高
2351885 ONTARIO INC,制裁リスト,有効,高
23rd Research Institute,制裁リスト,有効,高
24X7 Panoptes,制裁リスト,有効,高
2566 Radioelectronic Armament Repair Plant JSC,制裁リスト,有効,高
261ST Repair Plant,制裁リスト,有効,高
27,制裁リスト,無効,高
275 ARZ,制裁リスト,有効,高
27th Central Scientific Research Institute,制裁リスト,有効,高
27th Central Scientific Research Institute (TsNII),制裁リスト,有効,高
27th Military Scientific Centre,制裁リスト,有効,高
27th NTs,制裁リスト,有効,高
27th Research and Development Centre of the Ministry of Defence,制裁リスト,有効,高
27th Research and Development Centre of the Ministry of Defence.,制裁リスト,有効,高
27TH SCIENTIFIC CENTER,制裁リスト,有効,高
27th Scientific Center of the Russian Ministry of Defense,制裁リスト,有効,高
27th TsNII,制裁リスト,有効,高
"2904977 CANADA, INC.",制裁リスト,有効,高
2ND ACADEMY OF NATURAL SCIENCES,制裁リスト,有効,高
3-101-507688 SA,制裁リスト,有効,高
308 ARZ,制裁リスト,有効,高
30 SRZ AO,制裁リスト,有効,高
30th Ship Repair Factory Joint Stock Company,制裁リスト,有効,高
31st Research Institute of China Aerospace Science and Industry Corporation (CASIC) (中国航天科工集団第三研究院三十一研究所),制裁リスト,有効,高
322 ARZ,制裁リスト,有効,高
325 ARZ,制裁リスト,有効,高
32 COUNTY SOVEREIGNTY COMMITTEE,制裁リスト,有効,高
32 COUNTY SOVEREIGNTY MOVEMENT,制裁リスト,有効,高
32 RZ SOP,制裁リスト,有効,高
33 Institute,制裁リスト,有効,高
33rd Central Experimental Institute for Scientific Research of the Ministry of,制裁リスト,有効,高
33rd Central Experimental Institute for Scientific Research of the Ministry of Defence,制裁リスト,有効,高
33rd Central Research and Testing Institute of the Ministry of Defence of the Russian,制裁リスト,有効,高
33rd Central Research and Testing Institute of the Ministry of Defence of the Russian Federation,制裁リスト,有効,高
33rd Central Scientific Research Institute,制裁リスト,有効,高
33rd Central Scientific Research Institute (TsNII),制裁リスト,有効,高
33RD LIGHT INFANTRY DIVISION OF THE BURMESE ARMY,制裁リスト,有効,高
33rd Military Scientific Centre,制裁リスト,有効,高
33rd Research and Development Centre of the Ministry of Defence,制裁リスト,有効,高
33rd Research and Development Centre of the Ministry of Defence.,制裁リスト,有効,高
33rd Scientific Research and Testing Institute,制裁リスト,有効,高
33rd TsNIII,制裁リスト,有効,高
356 Aircraft Repair Plant,制裁リスト,有効,高
356 ARZ PAO,制裁リスト,有効,高
35 Institute,制裁リスト,有効,高
360 ARZ,制裁リスト,有効,高
365 DAYS FREIGHT SERVICES FZCO,制裁リスト,有効,高
378 アレクサンドル・シェルバコフ,制裁リスト,無効,高
3A-MGU,制裁リスト,有効,高
3D.RU,制裁リスト,有効,高
3DATA,制裁リスト,有効,高
3D Format,制裁リスト,有効,高
3DMall,制裁リスト,有効,高
3D MODERN PRINTING PRESS,制裁リスト,有効,高
3D Moll,制裁リスト,有効,高
3E2357,制裁リスト,有効,高
3E2647,制裁リスト,有効,高
3E2651,制裁リスト,有効,高
3E5918,制裁リスト,有効,高
