canonical_record,match_key,source,source_record_id,source_url,source_document,publication_date,effective_date,first_seen,last_seen,current,source_hash,evidence
Al Qa'ida/Islamic Army,alqa'ida/islamicarmy,経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:1,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":1,""country"":""アフガニスタン Islamic Republic of Afghanistan"",""aliases"":[""Al Qaeda"",""Islamic Salvation Foundation"",""The Base"",""The Group for the Preservation of the Holy Sites"",""The Islamic Army for the Liberation of Holy Places"",""The World Islamic Front for Jihad against Jews and Crusaders"",""Usama Bin Laden Network"",""Usama Bin Laden Organisation""],""wmd"":""生物、化学、ミサイル、核 B,C,M,N"",""conventional_weapons"":""通常兵器 CW""}"
Ummah Tameer E-Nau (UTN),ummahtameere-nau(utn),経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:2,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":2,""country"":""アフガニスタン Islamic Republic of Afghanistan"",""aliases"":[""FOUNDATION FOR CONSTRUCTION"",""NATION BUILDING"",""RECONSTRUCTION FOUNDATION"",""RECONSTRUCTION OF THE ISLAMIC COMMUNITY"",""RECONSTRUCTION OF THE MUSLIM UMMAH"",""UMMAH TAMEER I-NAU"",""UMMAH TAMIR E-NAU"",""UMMAH TAMIR I-NAU"",""UMMAT TAMIR E-NAU"",""UMMAT TAMIR-I-PAU""],""wmd"":""生物、化学、核 B,C,N"",""conventional_weapons"":""""}"
Al-Bairaq for international land transport,al-bairaqforinternationallandtransport,経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:3,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":3,""country"":""アラブ首長国連邦 United Arab Emirates"",""aliases"":[],""wmd"":""ミサイル M"",""conventional_weapons"":""""}"
Candid General Trading LLC,candidgeneraltradingllc,経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:4,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":4,""country"":""アラブ首長国連邦 United Arab Emirates"",""aliases"":[""Candid Trading LLC""],""wmd"":""ミサイル M"",""conventional_weapons"":""""}"
Delta Engineering Concern FZE （DEC）,deltaengineeringconcernfze(dec),経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:5,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":5,""country"":""アラブ首長国連邦 United Arab Emirates"",""aliases"":[],""wmd"":""核 N"",""conventional_weapons"":""""}"
"DES INTERNATIONAL CO., LTD.","desinternationalco.,ltd.",経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:6,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":6,""country"":""アラブ首長国連邦 United Arab Emirates"",""aliases"":[""D.E.S. INTERNATIONAL"",""D.E.S. INTERNATIONAL CO. LTD"",""DES INTERNATIONAL"",""DES INTERNATIONAL CO."",""DES INTERNATIONAL COMPANY"",""DES INTERNATIONAL COMPANY LIMITED""],""wmd"":""ミサイル M"",""conventional_weapons"":""""}"
DIAMOND CASTLE ELECTRONICS TRADING LLC,diamondcastleelectronicstradingllc,経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:7,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":7,""country"":""アラブ首長国連邦 United Arab Emirates"",""aliases"":[],""wmd"":""ミサイル M"",""conventional_weapons"":""""}"
E and I Systems FZE,eandisystemsfze,経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:8,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":8,""country"":""アラブ首長国連邦 United Arab Emirates"",""aliases"":[],""wmd"":""核 N"",""conventional_weapons"":""""}"
Energy Global International FZE,energyglobalinternationalfze,経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:9,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":9,""country"":""アラブ首長国連邦 United Arab Emirates"",""aliases"":[],""wmd"":""生物、化学、ミサイル、核 B,C,M,N"",""conventional_weapons"":""""}"
Emirates Alloys LLC,emiratesalloysllc,経済産業省 外国ユーザーリスト,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:10,https://www.meti.go.jp/policy/anpo/20250929_3.pdf,data/raw/meti_manual/20260905T201914Z__c632d657f9c1__20250929_3.pdf,2025-09-29,2025-10-09,2026-09-05T20:19:14Z,2026-09-05T20:19:14Z,1,c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda,"{""record_no"":10,""country"":""アラブ首長国連邦 United Arab Emirates"",""aliases"":[""Emirates Alloys"",""Emirates Alloys General Trading LLC"",""Emirates Aero""],""wmd"":""核 N"",""conventional_weapons"":""""}"
