action,match_key,display_name,sources,status,remark
HOLD_LEGACY_NOT_IN_CURRENT,(ooo)microelectronicproductioncomplex(mpk)milandr,(OOO) Microelectronic Production Complex (MPK) Milandr,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,(有限会社)マイクロエレクトロニクスコンプレックス(mpk)ミランドル,（有限会社）マイクロエレクトロニクスコンプレックス（MPK）ミランドル,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,10thresearchinstituteofchinaelectronictechnologygroupcorporation(cetc),10th Research Institute of China Electronic Technology Group Corporation (CETC),経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,121arz,121 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,123arz,123 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"13thresearchinstitute,9thacademy,chinaaerospacescienceandtechnologycorporation(casc)","13th Research Institute, 9th Academy, China Aerospace Science and Technology Corporation (CASC)",経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,140repairplantjsc,140 Repair Plant JSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,163bronetankovyremontnyzavodoao,163 Bronetankovy Remontny Zavod OAO,OFAC;経産省;財務省,有効,制裁リスト（財務省：ロシア連邦(団体(特定銀行を除く))／経産省／OFAC：SDN）
HOLD_LEGACY_NOT_IN_CURRENT,170rzsop,170 RZ SOP,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,20arz,20 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,20thresearchinstituteofchinaelectronictechnologygroupcorporation(cetc),20th Research Institute of China Electronic Technology Group Corporation (CETC),経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,218arz,218 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,2566radioelectronicarmamentrepairplantjsc,2566 Radioelectronic Armament Repair Plant JSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,275arz,275 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,27thcentralscientificresearchinstitute,27th Central Scientific Research Institute,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,27thcentralscientificresearchinstitute(tsnii),27th Central Scientific Research Institute (TsNII),経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,27thmilitaryscientificcentre,27th Military Scientific Centre,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,27thresearchanddevelopmentcentreoftheministryofdefence,27th Research and Development Centre of the Ministry of Defence,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,27thresearchanddevelopmentcentreoftheministryofdefence.,27th Research and Development Centre of the Ministry of Defence.,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,27thtsnii,27th TsNII,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,308arz,308 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,322arz,322 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,325arz,325 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,32rzsop,32 RZ SOP,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,33rdcentralexperimentalinstituteforscientificresearchoftheministryof,33rd Central Experimental Institute for Scientific Research of the Ministry of,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,33rdcentralexperimentalinstituteforscientificresearchoftheministryofdefence,33rd Central Experimental Institute for Scientific Research of the Ministry of Defence,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,33rdcentralresearchandtestinginstituteoftheministryofdefenceoftherussian,33rd Central Research and Testing Institute of the Ministry of Defence of the Russian,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,33rdcentralresearchandtestinginstituteoftheministryofdefenceoftherussianfederation,33rd Central Research and Testing Institute of the Ministry of Defence of the Russian Federation,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,33rdcentralscientificresearchinstitute,33rd Central Scientific Research Institute,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,33rdcentralscientificresearchinstitute(tsnii),33rd Central Scientific Research Institute (TsNII),経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,33rdmilitaryscientificcentre,33rd Military Scientific Centre,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,33rdresearchanddevelopmentcentreoftheministryofdefence,33rd Research and Development Centre of the Ministry of Defence,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,33rdresearchanddevelopmentcentreoftheministryofdefence.,33rd Research and Development Centre of the Ministry of Defence.,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,360arz,360 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,4.27co.pyongyangbranch,4.27 Co. Pyongyang Branch,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,4.27貿易会社平壌支社,4.27貿易会社平壌支社,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,46thtsniicentralscientificresearchinstitute,46th TSNII Central Scientific Research Institute,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,46tsnii,46 TsNII,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,46tsniimorf,46 TsNII MO RF,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,48thcentralscientificresearchinstitute,48th Central Scientific Research Institute,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,48thcentralscientificresearchinstitute(tsnii),48th Central Scientific Research Institute (TsNII),経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,48thtsnii,48th TsNII,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,5-ysudoremontnyyzavod,5-y Sudoremontnyy Zavod,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,514arz,514 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,558aircraftrepairplantjsc,558 Aircraft Repair Plant JSC,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,5srz,5 SRZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,5thshipyard,5th Shipyard,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,680arz,680 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,711arz,711 ARZ,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,720rzsop,720 RZ SOP,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,929glitsvvs,929 GLITs VVS,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,929gosudarstvenniyletno-ispytatelniytsentrministerstvooboronirossiiskoi,929 Gosudarstvenniy Letno-Ispytatelniy Tsentr Ministerstvo Oboroni Rossiiskoi,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,929v.p.チカロフ名称ロシア連邦国防省国立飛行試験センタ-,929 V.P.チカロフ名称ロシア連邦国防省国立飛行試験センター,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,929国立飛行実験センタ-,929国立飛行実験センター,経産省,有効,制裁リスト（経産省）
