action,match_key,name,record_no,record_primary,kind,party_nos,supporting_names,source_record_ids,review_reason,resolution,existing_master_sources,existing_master_display_name
NOOP_ALREADY_METI,(korea)sunhwagangtradingco.((朝鮮)順和江貿易会社),(Korea) Sunhwagang Trading Co. ((朝鮮)順和江貿易会社),433,Sun Hwa Gang Co. Ltd. (順和江会社),ALIAS:1,433,"[""(Korea) Sunhwagang Trading Co. ((朝鮮)順和江貿易会社)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:433:ALIAS:1,,,経産省,(Korea) Sunhwagang Trading Co. ((朝鮮)順和江貿易会社)
READY_ADD,10thresearchinstituteofchinaelectronictechnologygroupcorporation(cetc)(中国電子科技集団公司第十研究所),10th Research Institute of China Electronic Technology Group Corporation (CETC) (中国電子科技集団公司第十研究所),475,10th Research Institute of China Electronic Technology Group Corporation (CETC) (中国電子科技集団公司第十研究所),PRIMARY,475,"[""10th Research Institute of China Electronic Technology Group Corporation (CETC) (中国電子科技集団公司第十研究所)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:475:PRIMARY,,,,
NOOP_ALREADY_METI,12thresearchinstitutechinaacademyoflaunchvehicletechnology(calt),12th Research Institute China Academy of Launch Vehicle Technology (CALT),488,Beijing Aerospace Automatic Control Institute (BICD) (北京航天自動控制研究所),ALIAS:1,488,"[""12th Research Institute China Academy of Launch Vehicle Technology (CALT)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:488:ALIAS:1,,,経産省,12th Research Institute China Academy of Launch Vehicle Technology (CALT)
NOOP_ALREADY_METI,13thinstitute,13th Institute,476,"13th Research Institute, 9th Academy, China Aerospace Science and Technology Corporation (CASC) (中国航天科技集団公司第九研究院第十三研究所)",ALIAS:1,476,"[""13th Institute""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:476:ALIAS:1,,,経産省,13th Institute
READY_ADD,"13thresearchinstitute,9thacademy,chinaaerospacescienceandtechnologycorporation(casc)(中国航天科技集団公司第九研究院第十三研究所)","13th Research Institute, 9th Academy, China Aerospace Science and Technology Corporation (CASC) (中国航天科技集団公司第九研究院第十三研究所)",476,"13th Research Institute, 9th Academy, China Aerospace Science and Technology Corporation (CASC) (中国航天科技集団公司第九研究院第十三研究所)",PRIMARY,476,"[""13th Research Institute, 9th Academy, China Aerospace Science and Technology Corporation (CASC) (中国航天科技集団公司第九研究院第十三研究所)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:476:PRIMARY,,,,
READY_ADD,20thresearchinstituteofchinaelectronictechnologygroupcorporation(cetc)(中国電子科技集団公司第二十研究所),20th Research Institute of China Electronic Technology Group Corporation (CETC) (中国電子科技集団公司第二十研究所),477,20th Research Institute of China Electronic Technology Group Corporation (CETC) (中国電子科技集団公司第二十研究所),PRIMARY,477,"[""20th Research Institute of China Electronic Technology Group Corporation (CETC) (中国電子科技集団公司第二十研究所)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:477:PRIMARY,,,,
NOOP_ALREADY_METI,221generalbureau,221 General Bureau,352,Korea Mining Development Trading Corporation (KOMID) (朝鮮鉱業開発貿易会社),ALIAS:7,352,"[""221 General Bureau""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:352:ALIAS:7,,,経産省,221 General Bureau
NOOP_ALREADY_METI,230factory,230 Factory,476,"13th Research Institute, 9th Academy, China Aerospace Science and Technology Corporation (CASC) (中国航天科技集団公司第九研究院第十三研究所)",ALIAS:3,476,"[""230 Factory""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:476:ALIAS:3,,,経産省,230 Factory
NOOP_ALREADY_METI,23rdresearchinstitute,23rd Research Institute,478,23rd Research Institute,PRIMARY,478,"[""23rd Research Institute""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:478:PRIMARY,,,経産省,23rd Research Institute
NOOP_ALREADY_METI,27thnts,27th NTs,736,27th Scientific Center of the Russian Ministry of Defense,ALIAS:1,736,"[""27th NTs""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:736:ALIAS:1,,,OFAC;経産省,27th NTs
NOOP_ALREADY_METI,27thscientificcenteroftherussianministryofdefense,27th Scientific Center of the Russian Ministry of Defense,736,27th Scientific Center of the Russian Ministry of Defense,PRIMARY,736,"[""27th Scientific Center of the Russian Ministry of Defense""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:736:PRIMARY,,,経産省,27th Scientific Center of the Russian Ministry of Defense
NOOP_ALREADY_METI,2ndacademyofnaturalsciences,2nd Academy of Natural Sciences,425,Second Academy of Natural Sciences (第二自然科学院),ALIAS:1,425,"[""2nd Academy of Natural Sciences""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:425:ALIAS:1,,,OFAC;経産省;財務省,2ND ACADEMY OF NATURAL SCIENCES
NOOP_ALREADY_METI,31stresearchinstituteofchinaaerospacescienceandindustrycorporation(casic)(中国航天科工集団第三研究院三十一研究所),31st Research Institute of China Aerospace Science and Industry Corporation (CASIC) (中国航天科工集団第三研究院三十一研究所),499,Beijing Power Machinery Institute (北京動力機械研究所),ALIAS:1,499,"[""31st Research Institute of China Aerospace Science and Industry Corporation (CASIC) (中国航天科工集団第三研究院三十一研究所)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:499:ALIAS:1,,,経産省,31st Research Institute of China Aerospace Science and Industry Corporation (CASIC) (中国航天科工集団第三研究院三十一研究所)
NOOP_ALREADY_METI,33institute,33 Institute,490,Beijing Automation Control Equipment Institute (BACEI) (北京自動化控制設備研究所),ALIAS:1,490,"[""33 Institute""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:490:ALIAS:1,,,経産省,33 Institute
NOOP_ALREADY_METI,33rdscientificresearchandtestinginstitute,33rd Scientific Research and Testing Institute,737,33rd Scientific Research and Testing Institute,PRIMARY,737,"[""33rd Scientific Research and Testing Institute""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:737:PRIMARY,,,OFAC;経産省,33rd Scientific Research and Testing Institute
NOOP_ALREADY_METI,33rdtsniii,33rd TsNIII,737,33rd Scientific Research and Testing Institute,ALIAS:1,737,"[""33rd TsNIII""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:737:ALIAS:1,,,OFAC;経産省,33rd TsNIII
NOOP_ALREADY_METI,35institute,35 Institute,558,No. 35 Research Institute of the Third Academy of China Aerospace Science and Industry Corporation (CASIC),ALIAS:1,558,"[""35 Institute""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:558:ALIAS:1,,,経産省,35 Institute
HOLD_WEAK_ALIAS,3mg,3MG,169,Mizan Machinery Manufacturing (3M),ALIAS:1,169,"[""3MG""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:169:ALIAS:1,3文字と短く、照合時に誤検知が多発する見込み（3MG）,,財務省,3MG
NOOP_ALREADY_METI,3mlimited,3M Limited,721,K Logistics (China) Limited （快急送物流(中國)有限公司）,ALIAS:3,721,"[""3M Limited""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:721:ALIAS:3,,,経産省,3M Limited
READY_ADD,4.27co.pyongyangbranch(4.27貿易会社平壌支社),4.27 Co. Pyongyang Branch (4.27貿易会社平壌支社),297,4.27 Co. Pyongyang Branch (4.27貿易会社平壌支社),PRIMARY,297,"[""4.27 Co. Pyongyang Branch (4.27貿易会社平壌支社)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:297:PRIMARY,,,,
NOOP_ALREADY_METI,4.27corporation,4.27 Corporation,297,4.27 Co. Pyongyang Branch (4.27貿易会社平壌支社),ALIAS:1,297,"[""4.27 Corporation""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:297:ALIAS:1,,,経産省,4.27 Corporation
NOOP_ALREADY_METI,54thresearchinstituteofchinaelectronicstechnologygroupcorporation(cetc54),54th Research Institute of China Electronics Technology Group Corporation (CETC54),515,China Electronics Technology Group Corporation (CETC) 54th Research Institute (中国電子科技集団公司第五十四研究所),ALIAS:1,515,"[""54th Research Institute of China Electronics Technology Group Corporation (CETC54)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:515:ALIAS:1,,,経産省,54th Research Institute of China Electronics Technology Group Corporation (CETC54)
NOOP_ALREADY_METI,5thacademyofchinaaerospacescienceandtechnologycorporation(中国航天科技集団公司第五研究院),5th Academy of China Aerospace Science and Technology Corporation (中国航天科技集団公司第五研究院),509,China Academy of Space Technology (CAST) (中国空間技術研究院),ALIAS:1,509,"[""5th Academy of China Aerospace Science and Technology Corporation (中国航天科技集団公司第五研究院)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:509:ALIAS:1,,,経産省,5th Academy of China Aerospace Science and Technology Corporation (中国航天科技集団公司第五研究院)
NOOP_ALREADY_METI,"702ndresearchinstitute,chinaacademyoflaunchvehicletechnology(calt)(中国航天科技集団公司第一研究院第七○ニ研究所)","702nd Research Institute, China Academy of Launch Vehicle Technology (CALT) (中国航天科技集団公司第一研究院第七○ニ研究所)",493,Beijing Institute of Structure and Environmental Engineering (BISE) (北京強度環境研究所),ALIAS:1,493,"[""702nd Research Institute, China Academy of Launch Vehicle Technology (CALT) (中国航天科技集団公司第一研究院第七○ニ研究所)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:493:ALIAS:1,,,経産省,"702nd Research Institute, China Academy of Launch Vehicle Technology (CALT) (中国航天科技集団公司第一研究院第七○ニ研究所)"
NOOP_ALREADY_METI,771researchinstitute,771 Research Institute,512,China Aerospace Science and Technology Corporation (CASC) 9th Academy 771 Research Institute （中国航天科技集団有限公司第九研究院第771研究 所）,ALIAS:1,512,"[""771 Research Institute""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:512:ALIAS:1,,,経産省,771 Research Institute
NOOP_ALREADY_METI,7thoftir,7th of Tir,35,7th of Tir,PRIMARY,35,"[""7th of Tir""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:35:PRIMARY,,,OFAC;経産省;財務省,7TH OF TIR
NOOP_ALREADY_METI,7thoftircomplex,7th of Tir Complex,35,7th of Tir,ALIAS:1,35,"[""7th of Tir Complex""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:35:ALIAS:1,,,OFAC;経産省;財務省,7TH OF TIR COMPLEX
NOOP_ALREADY_METI,7thoftirindustrialcomplex,7th of Tir Industrial Complex,35,7th of Tir,ALIAS:2,35,"[""7th of Tir Industrial Complex""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:35:ALIAS:2,,,OFAC;経産省,7TH OF TIR INDUSTRIAL COMPLEX
NOOP_ALREADY_METI,7thoftirindustries,7th of Tir Industries,35,7th of Tir,ALIAS:3,35,"[""7th of Tir Industries""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:35:ALIAS:3,,,OFAC;経産省,7TH OF TIR INDUSTRIES
NOOP_ALREADY_METI,7thoftirindustriesofisfahan/esfahan,7th of Tir Industries of Isfahan/Esfahan,35,7th of Tir,ALIAS:4,35,"[""7th of Tir Industries of Isfahan/Esfahan""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:35:ALIAS:4,,,OFAC;経産省,7th of Tir Industries of Isfahan/Esfahan
NOOP_ALREADY_METI,"811thresearchinstitute,8thacademy,chinaaerospacescienceandtechnologycorporation(casc)(中国航天科技集団公司第八研究院第八一一研究所)","811th Research Institute, 8th Academy, China Aerospace Science and Technology Corporation (CASC) (中国航天科技集団公司第八研究院第八一一研究所)",572,Shanghai Institute of Space Power Sources (上海空間電源研究所),ALIAS:1,572,"[""811th Research Institute, 8th Academy, China Aerospace Science and Technology Corporation (CASC) (中国航天科技集団公司第八研究院第八一一研究所)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:572:ALIAS:1,121文字と異常に長い。複数名が1セルに連結された疑い,SOURCE_VERIFIED_LONG_ALIAS,経産省,"811th Research Institute, 8th Academy, China Aerospace Science and Technology Corporation (CASC) (中国航天科技集団公司第八研究院第八一一研究所)"
NOOP_ALREADY_METI,8thimamindustriesgroup,8th Imam Industries Group,75,Cruise Missile Industry Group,ALIAS:1,75,"[""8th Imam Industries Group""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:75:ALIAS:1,,,OFAC;経産省,8TH IMAM INDUSTRIES GROUP
NOOP_ALREADY_METI,8thresearchacademyofchinaaerospacescienceandtechnologycorporation(中国航天科技集団公司第八研究院),8th Research Academy of China Aerospace Science and Technology Corporation (中国航天科技集団公司第八研究院),569,Shanghai Academy of Spaceflight Technology (SAST) (上海航天技術研究院),ALIAS:1,569,"[""8th Research Academy of China Aerospace Science and Technology Corporation (中国航天科技集団公司第八研究院)""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:569:ALIAS:1,,,経産省,8th Research Academy of China Aerospace Science and Technology Corporation (中国航天科技集団公司第八研究院)
NOOP_ALREADY_METI,aaspt,AASPT,480,Academy of Aerospace Solid Propulsion Technology （航天动力技术研究院）,ALIAS:1,480,"[""AASPT""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:480:ALIAS:1,,,経産省,AASPT
NOOP_ALREADY_METI,abasciencetechco.ltd,Abascience Tech Co. Ltd,479,Abascience Tech Co. Ltd,PRIMARY,479,"[""Abascience Tech Co. Ltd""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:479:PRIMARY,,,経産省,Abascience Tech Co. Ltd
NOOP_ALREADY_METI,abdulqaderkhanresearchlaboratories,Abdul Qader Khan Research Laboratories,641,Khan Research Laboratories (KRL),ALIAS:1,641,"[""Abdul Qader Khan Research Laboratories""]",c632d657f9c13b1250d688394eb7c99956a994527cb56f4a77c86ed61ff1dbda:641:ALIAS:1,,,経産省,Abdul Qader Khan Research Laboratories
