record_no,canonical_record,match_key,alias_count,expected_token_count,primary_action,primary_plan_name,primary_plan_match_key,primary_in_master,primary_meti_tagged
1,Al Qa'ida/Islamic Army,alqa'ida/islamicarmy,8,9,NOOP_ALREADY_METI,Al Qa'ida/Islamic Army,alqa'ida/islamicarmy,True,True
2,Ummah Tameer E-Nau (UTN),ummahtameere-nau(utn),10,11,NOOP_ALREADY_METI,Ummah Tameer E-Nau (UTN),ummahtameere-nau(utn),True,True
3,Al-Bairaq for international land transport,al-bairaqforinternationallandtransport,0,1,NOOP_ALREADY_METI,Al-Bairaq for international land transport,al-bairaqforinternationallandtransport,True,True
4,Candid General Trading LLC,candidgeneraltradingllc,1,2,NOOP_ALREADY_METI,Candid General Trading LLC,candidgeneraltradingllc,True,True
5,Delta Engineering Concern FZE （DEC）,deltaengineeringconcernfze(dec),0,1,NOOP_ALREADY_METI,Delta Engineering Concern FZE （DEC）,deltaengineeringconcernfze(dec),True,True
6,"DES INTERNATIONAL CO., LTD.","desinternationalco.,ltd.",6,7,READY_TAG_EXISTING,"DES INTERNATIONAL CO., LTD.","desinternationalco.,ltd.",True,True
7,DIAMOND CASTLE ELECTRONICS TRADING LLC,diamondcastleelectronicstradingllc,0,1,READY_TAG_EXISTING,DIAMOND CASTLE ELECTRONICS TRADING LLC,diamondcastleelectronicstradingllc,True,True
8,E and I Systems FZE,eandisystemsfze,0,1,NOOP_ALREADY_METI,E and I Systems FZE,eandisystemsfze,True,True
9,Energy Global International FZE,energyglobalinternationalfze,0,1,NOOP_ALREADY_METI,Energy Global International FZE,energyglobalinternationalfze,True,True
10,Emirates Alloys LLC,emiratesalloysllc,3,4,NOOP_ALREADY_METI,Emirates Alloys LLC,emiratesalloysllc,True,True
11,Euromoto Middle East FZE,euromotomiddleeastfze,0,1,NOOP_ALREADY_METI,Euromoto Middle East FZE,euromotomiddleeastfze,True,True
12,FARHAD GHAEDI WHOLESALERS LLC,farhadghaediwholesalersllc,0,1,READY_TAG_EXISTING,FARHAD GHAEDI WHOLESALERS LLC,farhadghaediwholesalersllc,True,True
13,FUTURE TRENDS GOODS WHOLESALERS LLC,futuretrendsgoodswholesalersllc,0,1,READY_TAG_EXISTING,FUTURE TRENDS GOODS WHOLESALERS LLC,futuretrendsgoodswholesalersllc,True,True
14,"Future Trends International, FZE LLC",fzellcfuturetrendsinternational,2,3,NOOP_ALREADY_METI,"Future Trends International, FZE LLC",fzellcfuturetrendsinternational,True,True
15,INFRACOM COMMUNICATION NETWORKS FZE,infracomcommunicationnetworksfze,0,1,READY_TAG_EXISTING,INFRACOM COMMUNICATION NETWORKS FZE,infracomcommunicationnetworksfze,True,True
