no,country,company,aliases,wmd,conventional_weapons,match_key
1,アフガニスタン Islamic Republic of Afghanistan,Al Qa'ida/Islamic Army,Al Qaeda␞Islamic Salvation Foundation␞The Base␞The Group for the Preservation of the Holy Sites␞The Islamic Army for the Liberation of Holy Places␞The World Islamic Front for Jihad against Jews and Crusaders␞Usama Bin Laden Network␞Usama Bin Laden Organisation,"生物、化学、ミサイル、核 B,C,M,N",通常兵器 CW,alqa'ida/islamicarmy
2,アフガニスタン Islamic Republic of Afghanistan,Ummah Tameer E-Nau (UTN),FOUNDATION FOR CONSTRUCTION␞NATION BUILDING␞RECONSTRUCTION FOUNDATION␞RECONSTRUCTION OF THE ISLAMIC COMMUNITY␞RECONSTRUCTION OF THE MUSLIM UMMAH␞UMMAH TAMEER I-NAU␞UMMAH TAMIR E-NAU␞UMMAH TAMIR I-NAU␞UMMAT TAMIR E-NAU␞UMMAT TAMIR-I-PAU,"生物、化学、核 B,C,N",,ummahtameere-nau(utn)
3,アラブ首長国連邦 United Arab Emirates,Al-Bairaq for international land transport,,ミサイル M,,al-bairaqforinternationallandtransport
4,アラブ首長国連邦 United Arab Emirates,Candid General Trading LLC,Candid Trading LLC,ミサイル M,,candidgeneraltradingllc
5,アラブ首長国連邦 United Arab Emirates,Delta Engineering Concern FZE （DEC）,,核 N,,deltaengineeringconcernfze(dec)
6,アラブ首長国連邦 United Arab Emirates,"DES INTERNATIONAL CO., LTD.",D.E.S. INTERNATIONAL␞D.E.S. INTERNATIONAL CO. LTD␞DES INTERNATIONAL␞DES INTERNATIONAL CO.␞DES INTERNATIONAL COMPANY␞DES INTERNATIONAL COMPANY LIMITED,ミサイル M,,"desinternationalco.,ltd."
7,アラブ首長国連邦 United Arab Emirates,DIAMOND CASTLE ELECTRONICS TRADING LLC,,ミサイル M,,diamondcastleelectronicstradingllc
8,アラブ首長国連邦 United Arab Emirates,E and I Systems FZE,,核 N,,eandisystemsfze
9,アラブ首長国連邦 United Arab Emirates,Energy Global International FZE,,"生物、化学、ミサイル、核 B,C,M,N",,energyglobalinternationalfze
10,アラブ首長国連邦 United Arab Emirates,Emirates Alloys LLC,Emirates Alloys␞Emirates Alloys General Trading LLC␞Emirates Aero,核 N,,emiratesalloysllc
11,アラブ首長国連邦 United Arab Emirates,Euromoto Middle East FZE,,ミサイル M,,euromotomiddleeastfze
12,アラブ首長国連邦 United Arab Emirates,FARHAD GHAEDI WHOLESALERS LLC,,ミサイル M,,farhadghaediwholesalersllc
13,アラブ首長国連邦 United Arab Emirates,FUTURE TRENDS GOODS WHOLESALERS LLC,,ミサイル M,,futuretrendsgoodswholesalersllc
14,アラブ首長国連邦 United Arab Emirates,"Future Trends International, FZE LLC",Future Trends␞Future Trends Intl FZE LLC,核 N,,fzellcfuturetrendsinternational
15,アラブ首長国連邦 United Arab Emirates,INFRACOM COMMUNICATION NETWORKS FZE,,ミサイル M,,infracomcommunicationnetworksfze
16,アラブ首長国連邦 United Arab Emirates,International General Resourcing FZE,,ミサイル M,,internationalgeneralresourcingfze
17,アラブ首長国連邦 United Arab Emirates,Mabrooka Trading Co L.L.C.,Mabrooka Trading Company,ミサイル M,,mabrookatradingcol.l.c.
18,アラブ首長国連邦 United Arab Emirates,Mahrous Trading FZE,Mahrus Trading FZE,"生物、化学、ミサイル B,C,M",,mahroustradingfze
19,アラブ首長国連邦 United Arab Emirates,Modern Technologies FZC (MTFZC),,核 N,,moderntechnologiesfzc(mtfzc)
20,アラブ首長国連邦 United Arab Emirates,Odyssey General Trading FZC,,核 N,,odysseygeneraltradingfzc
21,アラブ首長国連邦 United Arab Emirates,Parts Deep Trading,,ミサイル M,,partsdeeptrading
22,アラブ首長国連邦 United Arab Emirates,Pegasus General Trading FZE,Pegasus General Trading FZE␞Pegasus General Trading Company␞Pegasus General Trading LLC␞Pegasus General␞Pegasus Trading␞Pegasus,"ミサイル、核 M,N",,pegasusgeneraltradingfze
23,アラブ首長国連邦 United Arab Emirates,PHENOMENA INTERNATIONAL GENERAL TRADING LLC,,ミサイル M,,phenomenainternationalgeneraltradingllc
24,アラブ首長国連邦 United Arab Emirates,Royal Pearl General T.R.D.,Royal Pearl Chemical␞Royal Pearls␞Royal Pearls General Trading,ミサイル M,,royalpearlgeneralt.r.d.
25,アラブ首長国連邦 United Arab Emirates,Rigsol Well Drilling Equipment Trading,,核 N,,rigsolwelldrillingequipmenttrading
26,アラブ首長国連邦 United Arab Emirates,S&D INDUSTRY LTD,,核 N,,s&dindustryltd
27,アラブ首長国連邦 United Arab Emirates,Safe Technical Supply,"Safe Technical Supply Co., LLC␞Safe Technical Equipment Services LLC␞Safe Technical␞SafeTech",核 N,,safetechnicalsupply
28,アラブ首長国連邦 United Arab Emirates,SANCO MIDDLE EAST FZC,SANCO ME FZC,核 N,,sancomiddleeastfzc
29,アラブ首長国連邦 United Arab Emirates,"Sci Box Scientific and Laboratory Equipment Trading, LLC",,核 N,,"sciboxscientificandlaboratoryequipmenttrading,llc"
30,アラブ首長国連邦 United Arab Emirates,Techcare Services FZ LLC,,核 N,,techcareservicesfzllc
31,アラブ首長国連邦 United Arab Emirates,TEM International FZC（TEM）,,核 N,,teminternationalfzc(tem)
32,イエメン Republic of Yemen,Al-Swari Trading and Import Co,Alswari Trading & Import Co␞Al-Swari Group for Rubber Manufacturing␞Hashem Brothers for International Trading,ミサイル M,,al-swaritradingandimportco
33,イエメン Republic of Yemen,Houthi,,ミサイル M,,houthi
34,イスラエル State of Israel,Nuclear Research Center Negev (NRCN),,核 N,,nuclearresearchcenternegev(nrcn)
35,イラン Islamic Republic of Iran,7th of Tir,7th of Tir Complex␞7th of Tir Industrial Complex␞7th of Tir Industries␞7th of Tir Industries of Isfahan/Esfahan␞Mojtamae Sanate Haftome Tir␞Sanaye Haftome Tir␞Seventh of Tir,核 N,,7thoftir
36,イラン Islamic Republic of Iran,ABU REIHAN GROUP,,ミサイル M,,abureihangroup
37,イラン Islamic Republic of Iran,Abzar Boresh Kaveh Co.,BK Co.,核 N,,abzarboreshkavehco.
