list,party_id,name,match_key,first_seen_ms,last_changed_ms,alias_current,party_current,formats,primary,low_quality
Consolidated,15268,BANK OF KUNLUN CO LTD,bankofkunluncoltd,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,1,0
Consolidated,15268,KARAMAY CITY COMMERCIAL BANK CO LTD.,karamaycitycommercialbankcoltd.,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,15268,KARAMAY URBAN CREDIT COOPERATIVES,karamayurbancreditcooperatives,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,BANK FOR FOREIGN TRADE OF RSFSR,bankforforeigntradeofrsfsr,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,BANK OF FOREIGN TRADE OF THE RUSSIAN FEDERATION,bankofforeigntradeoftherussianfederation,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,BANK VNESHEI TORGOVLI OAO,bankvnesheitorgovlioao,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,BANK VNESHNEI TORGOVLI ROSSISKOI FEDERATSII AS A PRIVATE JOINT STOCK COMPANY,bankvneshneitorgovlirossiskoifederatsiiasaprivatejointstockcompany,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,BANK VNESHNEI TORGOVLI RSFSR,bankvneshneitorgovlirsfsr,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,BANK VNESHNEY TORGOVLI JOINT STOCK COMPANY,bankvneshneytorgovlijointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,BANK VNESHNEY TORGOVLI OPEN JOINT STOCK COMPANY,bankvneshneytorgovliopenjointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,BANK VNESHNEY TORGOVLI ROSSIYSKOY FEDERATSII CLOSED JOINT STOCK COMPANY,bankvneshneytorgovlirossiyskoyfederatsiiclosedjointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,BANK VTB OAO,bankvtboao,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,BANK VTB OPEN JOINT STOCK COMPANY,bankvtbopenjointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,BANK VTB PAO,bankvtbpao,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,BANK VTB PUBLICHNOE AKTSIONERNOE OBSHCHESTVO,bankvtbpublichnoeaktsionernoeobshchestvo,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,Bank VTB PAO,bankvtbpao,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,Bank VTB Publichnoe Aktsionernoe Obshchestvo,bankvtbpublichnoeaktsionernoeobshchestvo,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,Bank Vneshei Torgovli OAO,bankvnesheitorgovlioao,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,Bank Vneshnei Torgovli Rossiskoi Federatsii as a Private Joint Stock Company,bankvneshneitorgovlirossiskoifederatsiiasaprivatejointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,Bank for Foreign Trade of RSFSR,bankforforeigntradeofrsfsr,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,Bank of Foreign Trade of the Russian Federation,bankofforeigntradeoftherussianfederation,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,CJSC BANK FOR FOREIGN TRADE OF THE RUSSIAN FEDERATION,cjscbankforforeigntradeoftherussianfederation,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,CJSC Bank for Foreign Trade of the Russian Federation,cjscbankforforeigntradeoftherussianfederation,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,JSC VTB BANK,jscvtbbank,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,JSC VTB Bank New Delhi Branch,jscvtbbanknewdelhibranch,1788483946814,1788483946814,1,1,advanced_xml_v3,0,1
Consolidated,17013,OAO BANK VTB,oaobankvtb,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,OAO Bank VTB,oaobankvtb,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,OAO VNESHTORGBANK,oaovneshtorgbank,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,OAO Vneshtorgbank,oaovneshtorgbank,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,OJSC CJSC BANK FOR FOREIGN TRADE,ojsccjscbankforforeigntrade,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,OJSC CJSC Bank for Foreign Trade,ojsccjscbankforforeigntrade,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,RUSSIAN VNESHTORGBANK,russianvneshtorgbank,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,Russian Vneshtorgbank,russianvneshtorgbank,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,VNESHTORGBANK,vneshtorgbank,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,VNESHTORGBANK OF RSFSR,vneshtorgbankofrsfsr,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,VNESHTORGBANK ROSSII CLOSED JOINT STOCK COMPANY,vneshtorgbankrossiiclosedjointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,VTB BANK,vtbbank,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,VTB BANK OAO,vtbbankoao,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17013,VTB BANK OPEN JOINT STOCK COMPANY,vtbbankopenjointstockcompany,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,VTB BANK PAO,vtbbankpao,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,VTB BANK PJSC,vtbbankpjsc,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,VTB BANK PJSC SHANGHAI BRANCH,vtbbankpjscshanghaibranch,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17013,VTB BANK PUBLIC JOINT STOCK COMPANY,vtbbankpublicjointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,1,0
Consolidated,17013,VTB Bank,vtbbank,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,VTB Bank PAO,vtbbankpao,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,VTB Bank PJSC,vtbbankpjsc,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,VTB Bank PJSC Shanghai Branch,vtbbankpjscshanghaibranch,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,VTB Bank open joint stock company,vtbbankopenjointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,Vneshtorgbank,vneshtorgbank,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,Vneshtorgbank of RSFSR,vneshtorgbankofrsfsr,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,Банк ВТБ ПАО,банквтбпао,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17013,Банк ВТБ публичное акционерное общество,банквтбпубличноеакционерноеобщество,1788483946814,1788483946814,1,1,advanced_xml_v3,1,0
Consolidated,17014,JOINT STOCK COMPANY RUSSIAN AGRICULTURAL BANK,jointstockcompanyrussianagriculturalbank,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17014,Joint Stock Company Russian Agricultural Bank,jointstockcompanyrussianagriculturalbank,1788483946814,1788483946814,1,1,advanced_xml_v3,1,0
Consolidated,17014,ROSSELKHOZBANK,rosselkhozbank,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17014,RUSSIAN AGRICULTURAL BANK,russianagriculturalbank,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17014,RUSSIAN AGRICULTURAL BANK OJSC,russianagriculturalbankojsc,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17014,RUSSIAN AGRICULTURAL BANK OPEN JOINT STOCK COMPANY,russianagriculturalbankopenjointstockcompany,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17014,Rosselkhozbank,rosselkhozbank,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17014,RusAg,rusag,1788483946814,1788483946814,1,1,advanced_xml_v3,0,1
Consolidated,17014,Russian Agricultural Bank,russianagriculturalbank,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17014,Russian Agricultural Bank OJSC,russianagriculturalbankojsc,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17014,Russian Agricultural Bank Open Joint Stock Company,russianagriculturalbankopenjointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17015,BANK FOR FOREIGN TRADE OF THE U.S.S.R.,bankforforeigntradeoftheu.s.s.r.,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17015,Bank for Development,bankfordevelopment,1788483946814,1788483946814,1,1,advanced_xml_v3,0,1
Consolidated,17015,Bank for Foreign Trade of the U.S.S.R.,bankforforeigntradeoftheu.s.s.r.,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17015,GK VEB.RF,gkveb.rf,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17015,GOSUDARSTVENNAYA KORPORATSIYA RAZVITIYA VEB.RF,gosudarstvennayakorporatsiyarazvitiyaveb.rf,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17015,STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK,statecorporationbankfordevelopmentandforeigneconomicaffairsvnesheconombank,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,1,0
Consolidated,17015,STATE DEVELOPMENT CORPORATION VEB.RF,statedevelopmentcorporationveb.rf,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17015,State Development Corporation VEB.RF,statedevelopmentcorporationveb.rf,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17015,VEB,veb,1788483946814,1788483946814,1,1,advanced_xml_v3,0,1
Consolidated,17015,VEB.RF,veb.rf,1788483946814,1788483946814,1,1,advanced_xml_v3;classic_csv,0,0
Consolidated,17015,VNESHECONOMBANK,vnesheconombank,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17015,VNESHEKONOMBANK GK,vneshekonombankgk,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17015,VNESHEKONOMBANK SSSR,vneshekonombanksssr,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17015,Vnesheconombank,vnesheconombank,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17015,Vneshekonombank GK,vneshekonombankgk,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17015,Vneshekonombank SSSR,vneshekonombanksssr,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17015,ВЭБ.РФ,вэб.рф,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17015,ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ВЭБ.РФ,государственнаякорпорацияразвитиявэб.рф,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17016,BANK GPB JSC,bankgpbjsc,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17016,Bank GPB JSC,bankgpbjsc,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
Consolidated,17016,GAZPROMBANK JOINT STOCK COMPANY,gazprombankjointstockcompany,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17016,GAZPROMBANK OPEN JOINT STOCK COMPANY,gazprombankopenjointstockcompany,1788483946814,1788483946814,1,1,classic_csv,0,0
Consolidated,17016,Gazprombank Joint Stock Company,gazprombankjointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3,1,0
Consolidated,17016,Gazprombank Open Joint Stock Company,gazprombankopenjointstockcompany,1788483946814,1788483946814,1,1,advanced_xml_v3,0,0
